index,name,stars,title,date,text
6,Alejandra F.,5.0 out of 5 stars,Calidad,"Reviewed in Mexico on June 27, 2023","La calidad es buena , es colorido,trae muchas hojas por el precio está bien"
6,Alejandro Gil Mendez Granados,5.0 out of 5 stars,Regalo para mi nieto,"Reviewed in Mexico on June 27, 2023",Le gusto a mi nieto y eso es mas que suficiente pára mi ya que le gusta colorear
6,Jos,5.0 out of 5 stars,Esta muy bonito,"Reviewed in Mexico on July 13, 2023","Aparte de que es muuuy barato, esta muy bonito y tiene bastantes hojas. A mi hijo le encantó!"
6,Miguel Angel,5.0 out of 5 stars,Buena opción,"Reviewed in Mexico on June 13, 2023","Fue un obsequio y la niña que lo recibió quedó encantada, bastantes hojas, actividades variadas y los dibujos están bien hechos y el precio es .uy accesible. Muy recomendable para los más pequeños de casa, quedé satisfecho con la compra."
6,Ingrid Cerda,5.0 out of 5 stars,Buenísimo.,"Reviewed in Mexico on June 27, 2023",Le gusto a mi niño. Trae muchos dibujos.
6,tania,5.0 out of 5 stars,Dibujos increíbles,"Reviewed in Mexico on June 20, 2023",Muy buen material y los dibujos increíbles
6,Cinthia CG,5.0 out of 5 stars,A mi sobrino le encantó,"Reviewed in Mexico on June 7, 2023",Excelente opción para regalo
6,Lore S,5.0 out of 5 stars,Recibi lo que esperaba,"Reviewed in Mexico on June 3, 2023","Recibí lo que esperaba, es grueso el libro."
6,"Excelente libro para colorear, tiene muchas hojas donde puede pasar tiempo entretenido mi niño. Sin duda lo volvería a comprar.",5.0 out of 5 stars,EXCELENTE CALIDAD.,"Reviewed in Mexico on May 21, 2023","Me encanto este libro, sin duda a sido una muy buena compra"
7,Hanz,5.0 out of 5 stars,Excelente compra,"Reviewed in Mexico on August 12, 2023",A mi hija de 3 años le encantó. Esta muy entretenida con el libro y justo es lo que pedían en la escuela
7,NANCY HDZ,5.0 out of 5 stars,Super padre,"Reviewed in Mexico on August 20, 2023","Muy padre, buena calidad, didácticos"
7,SUSAN,5.0 out of 5 stars,Excelente cuento,"Reviewed in Mexico on July 9, 2023","Se los acabo de leer a mis nietos, el relato de s muy bueno, los dibujos hermosos, el tamaño de la letra Perfecto , muy recomendable"
7,Vanessa Robles,5.0 out of 5 stars,Bonito libro para niños,"Reviewed in Mexico on July 10, 2023","Me gusta el contenido hace imaginar y pensar a los niños, las pastas son duras me gusta se siente resistente"
7,Dolce,5.0 out of 5 stars,Bonito!,"Reviewed in Mexico on July 8, 2023","Es grande, resistente, letras amplias y dibujos con colores llamativos. Al niño de 4 le encanta."
7,daniel,5.0 out of 5 stars,Buen libro,"Reviewed in Mexico on June 11, 2023","Nos encantó el libre, maneja de los datos de los dinosaurios de forma divertida para los niños."
7,Regina Moca,5.0 out of 5 stars,Divertido y educativo!,"Reviewed in Mexico on April 28, 2023",Es entretenido y educativo para los niños!
